feature,mean_abs_shap
Thal_PuI_L,0.005837389765504173
Paracentral_Lobule_R,0.00576902397468009
Thal_VL_L,0.005751784580131736
Vermis_4_5,0.0057305209311987555
Thal_AV_R,0.005611717786968534
Temporal_Mid_L,0.0055875630744525225
Frontal_Sup_Medial_L,0.00554415115494441
Olfactory_L,0.005511067649809884
Cerebellum_8_R,0.005452110097980463
VTA_L,0.005386370062127763
Thal_MDm_L,0.005370155988207453
OFClat_R,0.005358178778660024
Rectus_L,0.005346108633970389
Cingulate_Mid_L,0.005335277469000529
Raphe_D,0.005303930567948589
Thal_MGN_R,0.005294431389857921
Cerebellum_Crus1_L,0.005292581423718827
Temporal_Sup_L,0.005160135987338661
Temporal_Pole_Sup_R,0.005150448613644573
Hippocampus_R,0.005130649042812794
Temporal_Sup_R,0.005045627428933304
Cerebellum_3_R,0.0049199424947148
Frontal_Med_Orb_R,0.004778567541857225
Heschl_R,0.004773744669693294
Fusiform_L,0.00475009368141223
Cingulate_Post_R,0.004557899768257865
Angular_L,0.004383929763578202
Vermis_8,0.0043579903000831935
Frontal_Sup_2_L,0.004201731378046456
Thal_LGN_R,0.004180849380516436
Precuneus_L,0.004116792799249426
LC_L,0.004080320895939555
ParaHippocampal_R,0.004053422212352465
Calcarine_L,0.004022187155950752
Thal_Re_L,0.0038326427350606107
OFCmed_R,0.0038230239251900054
Cuneus_L,0.003797555264369593
Cerebellum_Crus2_L,0.0037645612504429
Postcentral_L,0.0037342556439220196
Thal_MDm_R,0.003575477078189004
Rolandic_Oper_R,0.0035464991341415705
Raphe_M,0.003526307155707488
Thal_MDl_R,0.0034084816460218594
SN_pr_R,0.0033937418114110573
Vermis_7,0.0033496600240481337
OFCant_L,0.003221321459759677
ACC_sup_R,0.003110360159170657
OFClat_L,0.003108686445988031
Lingual_L,0.0030878919633347563
Frontal_Sup_Medial_R,0.002982853234162677
Thal_MGN_L,0.0029658363228093057
Red_N_R,0.0029323202460314187
Thal_IL_R,0.002906420490969165
Cuneus_R,0.0028530387309001403
Cerebellum_6_R,0.0028462454544562
VTA_R,0.0027643573826246046
Vermis_6,0.0027063164097974
ACC_sub_L,0.0026606436360305033
Thal_PuA_R,0.00252842707197301
Precentral_L,0.0024693619995980747
OFCmed_L,0.002443100872086147
Calcarine_R,0.0023985659965502343
Temporal_Pole_Sup_L,0.0023964867678806694
Lingual_R,0.002389113321552226
ParaHippocampal_L,0.002355288041991445
Amygdala_R,0.0023017296727933225
Cingulate_Post_L,0.0022563268723726393
SN_pc_R,0.001896359899832461
Occipital_Sup_R,0.0018588660625407257
ACC_pre_R,0.0016419503497343895
Paracentral_Lobule_L,0.0015419175746783482
Frontal_Mid_2_L,0.0015184171876885728
Thal_LGN_L,0.0015113128049497634
Frontal_Sup_2_R,0.0014787536170772638
Cerebellum_10_R,0.0014786151703239765
Parietal_Inf_L,0.0012470569894860038
LC_R,0.001197268982490205
OFCpost_L,0.001059690682306375
Temporal_Mid_R,0.0009871099780569873
OFCpost_R,0.0007115529659252489
Pallidum_R,0.0006723411941399447
Supp_Motor_Area_R,0.0006389869607282482
