region,mean_abs_shap
Thal_IL_L,0.004380696772277809
Thal_PuI_L,0.004375863132207519
Paracentral_Lobule_R,0.004332769206913466
Thal_PuL_L,0.004282436172444424
Thal_LP_R,0.00427117546601622
Caudate_L,0.004215470608879861
Cuneus_R,0.00414262372425586
Cerebellum_7b_L,0.003976580303670814
Temporal_Mid_R,0.003908717925984326
Putamen_L,0.0038466418920343167
Fusiform_R,0.003706410020802931
ParaHippocampal_R,0.0036614256877562177
Rolandic_Oper_L,0.0036423970354979482
Thal_MDl_R,0.0035696710328405497
OFCant_R,0.003548134106098277
Vermis_1_2,0.0034950763523600983
Supp_Motor_Area_L,0.0034013712972901906
Thal_PuI_R,0.0033955964518516913
Frontal_Inf_Oper_R,0.00338547724351706
Precentral_L,0.0032486200560534547
Paracentral_Lobule_L,0.0031706756100635556
Thal_VPL_R,0.0031524304323216168
SN_pr_L,0.0031358585660284737
OFClat_R,0.0030095739023967938
Thal_PuM_R,0.0030037608153750312
Vermis_4_5,0.0028854789260895617
Caudate_R,0.0028605128812044496
Thal_LGN_L,0.0028435344012489945
SN_pr_R,0.0028394652825041024
Frontal_Med_Orb_R,0.002805554626728597
Thal_AV_L,0.002767290107486592
Amygdala_L,0.0027541606406445603
Thal_PuL_R,0.002751711623285594
Thal_MDl_L,0.0027410108285396543
Thal_VA_R,0.0026838727870345915
Precuneus_R,0.002677445384105991
SupraMarginal_R,0.002663418926648982
SupraMarginal_L,0.0026444132274214363
Lingual_L,0.0026307936747123287
Frontal_Med_Orb_L,0.0025754720347506365
OFCmed_R,0.002571487862975141
Rectus_R,0.0024946640095281766
Hippocampus_L,0.0024719446763211968
Cerebellum_6_R,0.0024611397251546718
N_Acc_L,0.002422262062317919
Thal_PuA_R,0.0024112417370857966
Temporal_Sup_L,0.002391949522249197
Thal_PuM_L,0.0023401372689887514
Amygdala_R,0.002151935603671077
Cerebellum_8_L,0.0020328475000133584
Cerebellum_7b_R,0.001844179633279199
Cerebellum_Crus1_L,0.0017347332417749647
Thal_Re_L,0.0016550186406095488
OFCpost_R,0.0015457202449998464
Cerebellum_8_R,0.0014631498343894308
Cingulate_Post_R,0.0012994514207921367
Lingual_R,0.0012807717216724904
Thal_MGN_L,0.0011839065306454163
Temporal_Pole_Mid_L,0.000862750828009488
